,DB_ID1,DB_ID2
353038,DB00490,DB01621
1,DB00490,DB08811
289126,DB00490,DB00594
531640,DB00490,DB00604
273965,DB00490,DB06292
138464,DB00490,DB00202
209996,DB00490,DB00421
204050,DB00490,DB08868
398694,DB00490,DB01215
370765,DB00490,DB00278
476974,DB00490,DB00884
546181,DB00490,DB00294
70650,DB00490,DB06218
343319,DB00490,DB01190
122232,DB00490,DB00475
412286,DB00490,DB11126
138162,DB00490,DB00758
527255,DB00490,DB00490
36814,DB00490,DB04896
179254,DB00490,DB00169
257878,DB00490,DB01024
221823,DB00490,DB08934
466899,DB00490,DB04835
157494,DB00490,DB06719
512158,DB00490,DB04899
438305,DB00490,DB06636
63171,DB00490,DB06441
88612,DB00490,DB11315
382787,DB00490,DB00578
236319,DB00490,DB00669
189056,DB00490,DB00672
186816,DB00490,DB00377
428316,DB00490,DB09030
89236,DB00490,DB01576
31765,DB00490,DB09053
47167,DB00490,DB00586
142755,DB00490,DB00523
245034,DB00490,DB04817
443903,DB00490,DB09539
125809,DB00490,DB06696
47112,DB00490,DB00552
272602,DB00490,DB01030
496992,DB00490,DB09267
351877,DB00490,DB00404
403119,DB00490,DB09026
261441,DB00490,DB00214
218579,DB00490,DB00266
11517,DB00490,DB00924
69919,DB00490,DB00945
182910,DB00490,DB01109
360499,DB00490,DB08875
524667,DB00490,DB00955
524112,DB00490,DB01015
180071,DB00490,DB00499
553151,DB00490,DB00999
189014,DB00490,DB00502
273786,DB00490,DB09072
480950,DB00490,DB01017
468019,DB00490,DB01267
127031,DB00490,DB01168
389621,DB00490,DB01041
337864,DB00490,DB01037
164349,DB00490,DB00976
522856,DB00490,DB01063
135687,DB00490,DB02703
24280,DB00490,DB00831
65066,DB00490,DB00220
193640,DB00490,DB00409
214445,DB00490,DB00343
93383,DB00490,DB00420
175701,DB00490,DB00366
148436,DB00490,DB01038
25456,DB00490,DB00834
31973,DB00490,DB00484
514667,DB00490,DB06201
54811,DB00490,DB01463
358517,DB00780,DB01177
66367,DB00780,DB00977
343758,DB00780,DB00976
310643,DB00780,DB09407
82415,DB00780,DB06480
279505,DB00780,DB06413
24039,DB00780,DB00804
83480,DB00780,DB06283
218921,DB00780,DB01114
238104,DB00780,DB00625
158294,DB00780,DB00197
155190,DB00780,DB00201
202389,DB00780,DB01196
334104,DB00780,DB01211
184897,DB00780,DB06290
247739,DB00780,DB09067
127070,DB00780,DB01219
549437,DB00780,DB00610
213072,DB00780,DB00696
435154,DB00780,DB01075
236631,DB00780,DB01032
396844,DB00780,DB00402
444939,DB00780,DB04835
50603,DB00780,DB00539
249093,DB00780,DB01380
143420,DB00780,DB00604
188870,DB00780,DB00927
504018,DB00780,DB06414
41688,DB00780,DB00698
105424,DB00780,DB00671
208849,DB00780,DB06262
15608,DB00780,DB00980
534139,DB00780,DB11133
221623,DB00780,DB00205
178959,DB00780,DB08872
62614,DB00780,DB00620
35562,DB00780,DB00553
279569,DB00780,DB00233
157552,DB00780,DB01165
250360,DB00780,DB00967
274715,DB00780,DB01319
48358,DB00780,DB00578
476347,DB00780,DB00988
467673,DB00780,DB00863
188817,DB00780,DB01602
539212,DB00780,DB06271
82408,DB00780,DB08903
2300,DB00780,DB01095
349373,DB00780,DB00363
365672,DB00780,DB01576
290586,DB00780,DB00588
226388,DB00780,DB00851
337289,DB00780,DB00195
117089,DB00780,DB01038
357201,DB00780,DB00268
303648,DB00780,DB00202
352914,DB00780,DB01618
368699,DB00780,DB00030
79321,DB00780,DB01224
164322,DB00780,DB00275
65149,DB00780,DB00706
248544,DB00780,DB00285
103521,DB00780,DB00714
117965,DB00780,DB00331
439133,DB00780,DB00409
210571,DB00780,DB00703
550003,DB00780,DB04896
78084,DB00780,DB00150
279381,DB00780,DB01063
78918,DB00780,DB09042
48735,DB00780,DB00925
40185,DB00780,DB00722
444907,DB00780,DB01267
270406,DB00780,DB00601
470055,DB00780,DB00323
235423,DB00780,DB01247
215307,DB00780,DB00193
496604,DB00780,DB01367
117510,DB00780,DB06706
476625,DB00780,DB00289
391270,DB00780,DB00661
496967,DB00780,DB06288
540369,DB00780,DB00881
7950,DB00780,DB01210
344728,DB00780,DB00668
421718,DB00780,DB06292
251379,DB00780,DB00450
434182,DB00780,DB00771
186290,DB00780,DB06711
111605,DB00780,DB09271
483110,DB00780,DB04920
305379,DB00780,DB00434
326980,DB00780,DB00960
322750,DB00780,DB09080
124474,DB00780,DB00343
306738,DB00852,DB00399
80978,DB00852,DB00710
345319,DB00852,DB01220
172110,DB00852,DB06822
122610,DB00852,DB00700
333981,DB00852,DB00697
441942,DB00852,DB09272
140136,DB00852,DB00875
78834,DB00852,DB00477
280387,DB00852,DB01242
15145,DB00852,DB01624
220145,DB00852,DB06636
359784,DB00852,DB06196
94924,DB00852,DB01119
421260,DB00852,DB06813
440674,DB00852,DB04839
558142,DB00852,DB00715
39296,DB00852,DB00407
372102,DB00852,DB00530
460977,DB00852,DB01178
553258,DB00852,DB01071
553488,DB00852,DB00273
252603,DB00852,DB09119
259039,DB00852,DB00278
82466,DB00852,DB00993
528406,DB00852,DB01142
533565,DB00852,DB01263
459813,DB00852,DB01196
119298,DB00852,DB01132
393284,DB00852,DB00445
352589,DB00852,DB01041
251727,DB00852,DB01173
509426,DB00852,DB00590
182727,DB00852,DB01380
2094,DB00852,DB00199
391459,DB00852,DB09285
311894,DB00852,DB00611
79192,DB00852,DB00750
237443,DB00852,DB06826
74476,DB00852,DB00448
405251,DB00852,DB08907
106924,DB00852,DB01276
547151,DB00852,DB00163
202604,DB00852,DB09027
41222,DB00852,DB00268
83943,DB00852,DB00451
3,DB00852,DB09083
17222,DB00852,DB01602
365475,DB00852,DB11124
28037,DB00852,DB04837
80609,DB00852,DB00960
196437,DB00852,DB00857
143604,DB00852,DB01251
469146,DB00852,DB01124
217737,DB00852,DB00872
67950,DB00852,DB09275
160736,DB00852,DB09079
23226,DB00852,DB04835
493009,DB00852,DB00607
89216,DB00852,DB01275
557664,DB00852,DB00356
468486,DB00852,DB01395
379919,DB00852,DB01104
544842,DB00852,DB01330
89893,DB00852,DB01340
44400,DB00852,DB00619
518430,DB00852,DB01032
53500,DB00852,DB01607
304788,DB00852,DB06717
443552,DB00852,DB01158
408830,DB00852,DB00423
235529,DB00852,DB01339
326932,DB00852,DB00440
348131,DB00852,DB09075
372308,DB00852,DB00570
360925,DB00852,DB00398
293375,DB00852,DB01601
79071,DB00852,DB06292
526371,DB00852,DB01037
293118,DB00852,DB01603
171019,DB00852,DB01202
92372,DB00852,DB08872
358633,DB00852,DB00656
76107,DB00852,DB00935
243113,DB00852,DB00470
329485,DB00852,DB00421
147419,DB00852,DB01577
267083,DB00852,DB01144
554886,DB00852,DB01556
164564,DB00852,DB00668
360268,DB00852,DB00871
421996,DB00852,DB00258
559124,DB00852,DB01193
153477,DB00852,DB00598
281758,DB00852,DB00723
552504,DB09027,DB08931
35501,DB09027,DB09477
169604,DB09027,DB00215
85285,DB09027,DB04924
97485,DB09027,DB00586
145481,DB09027,DB01035
335687,DB09027,DB01559
239894,DB09027,DB00178
321381,DB09027,DB00246
15208,DB09027,DB06145
384530,DB09027,DB01114
381325,DB09027,DB09061
343057,DB09027,DB00967
544009,DB09027,DB00184
102539,DB09027,DB09166
521061,DB09027,DB00521
34476,DB09027,DB00318
123913,DB09027,DB01330
488389,DB09027,DB01356
232239,DB09027,DB01002
425246,DB09027,DB06799
312271,DB09027,DB00758
217284,DB09027,DB00297
444690,DB09027,DB08899
4,DB09027,DB06282
417520,DB09027,DB08897
16426,DB09027,DB08909
115434,DB09027,DB00308
526723,DB09027,DB00169
245997,DB09027,DB00593
327564,DB09027,DB00377
234837,DB09027,DB01618
497288,DB09027,DB08933
260821,DB09027,DB00683
64994,DB09027,DB03615
280061,DB09027,DB00278
22419,DB09027,DB00994
507701,DB09027,DB01106
194689,DB09027,DB09295
87396,DB09027,DB00238
42711,DB09027,DB08930
493891,DB09027,DB00830
222410,DB09027,DB01620
558274,DB09027,DB00610
99983,DB09027,DB00841
481018,DB09027,DB00962
472340,DB09027,DB00605
112813,DB09027,DB01432
402467,DB09027,DB09049
305305,DB09027,DB00691
367301,DB09027,DB06772
91058,DB09027,DB00704
384348,DB09027,DB11315
243996,DB09027,DB03880
254751,DB09027,DB00669
218026,DB09027,DB09300
85882,DB09027,DB00316
504866,DB09027,DB09060
552197,DB09027,DB01589
278940,DB09027,DB00461
177389,DB09027,DB00835
93127,DB09027,DB01066
75253,DB09027,DB00435
340071,DB09027,DB00248
193414,DB09027,DB00977
373925,DB09027,DB00381
82116,DB09027,DB01050
444259,DB09027,DB08811
408256,DB09027,DB01241
481151,DB09027,DB00737
364450,DB09027,DB00366
558437,DB09027,DB08912
328449,DB09027,DB01211
241154,DB09027,DB01045
77043,DB09027,DB09053
450106,DB09027,DB00622
543438,DB09027,DB00776
385240,DB09027,DB01174
124918,DB09027,DB00300
421252,DB09027,DB08827
383343,DB09027,DB01026
317153,DB09027,DB00863
179115,DB09027,DB09280
296641,DB09027,DB01098
222962,DB09027,DB00213
468977,DB09027,DB09065
185576,DB09027,DB04908
339688,DB09027,DB00468
22578,DB09027,DB00864
457891,DB09027,DB00091
122899,DB09027,DB05812
203030,DB09027,DB00736
40471,DB09027,DB00243
425028,DB09027,DB01129
353825,DB09027,DB04905
155932,DB00424,DB00301
428516,DB00424,DB00903
3634,DB00424,DB08931
355328,DB00424,DB00653
335480,DB00424,DB00418
104961,DB00424,DB09295
236371,DB00424,DB00652
536725,DB00424,DB00243
554805,DB00424,DB04339
119304,DB00424,DB11133
8759,DB00424,DB00195
560702,DB00424,DB00204
99922,DB00424,DB01050
313223,DB00424,DB00671
331562,DB00424,DB00184
506459,DB00424,DB01193
2016,DB00424,DB01171
171975,DB00424,DB00539
279344,DB00424,DB01067
451949,DB00424,DB05239
550836,DB00424,DB06696
525521,DB00424,DB00333
120729,DB00424,DB06708
164603,DB00424,DB00776
355587,DB00424,DB00610
552695,DB00424,DB01296
195075,DB00424,DB00850
109032,DB00424,DB00451
212336,DB00424,DB09291
239570,DB00424,DB00337
92654,DB00424,DB01148
69600,DB00424,DB06822
544819,DB00424,DB04843
395319,DB00424,DB01268
38497,DB00424,DB01357
96579,DB00424,DB05812
503400,DB00424,DB01233
91185,DB00424,DB06287
7497,DB00424,DB00585
234746,DB00424,DB00750
202122,DB00424,DB00999
490450,DB00424,DB01229
308086,DB00424,DB00231
218243,DB00424,DB06813
399548,DB00424,DB01101
547042,DB00424,DB08910
254452,DB00424,DB11181
315083,DB00424,DB08976
148648,DB00424,DB08934
102237,DB00424,DB09030
555934,DB00424,DB00682
180150,DB00424,DB08916
536353,DB00424,DB01017
108917,DB00424,DB06201
387102,DB00424,DB00794
289974,DB00424,DB00816
479061,DB00424,DB06274
202564,DB00424,DB06271
507358,DB00424,DB01117
377095,DB00424,DB09288
231185,DB00424,DB01601
548770,DB00424,DB06603
366061,DB00424,DB00736
307073,DB00424,DB00458
92605,DB00424,DB00213
465907,DB00424,DB01042
168030,DB00424,DB00594
132784,DB00424,DB00523
89858,DB00424,DB06714
312425,DB00424,DB01577
80719,DB00424,DB11124
476995,DB00424,DB00950
223108,DB00424,DB06700
97130,DB00424,DB08880
199397,DB00424,DB00006
41594,DB00424,DB00582
102236,DB00424,DB01489
105508,DB00424,DB00304
5,DB00424,DB00472
9751,DB00424,DB01176
538278,DB00424,DB04831
31166,DB00424,DB08813
293317,DB00424,DB00277
246313,DB00424,DB00757
22512,DB00424,DB09272
32740,DB00424,DB00040
212041,DB00424,DB09290
522602,DB00424,DB01278
325395,DB00424,DB00295
458862,DB00424,DB09271
244565,DB00424,DB09104
426758,DB00424,DB06723
51981,DB00424,DB06724
284705,DB00424,DB01021
525964,DB00424,DB00470
187278,DB06210,DB04861
310612,DB06210,DB00269
547084,DB06210,DB08794
64573,DB06210,DB00758
355712,DB06210,DB01021
65702,DB06210,DB08896
533760,DB06210,DB11095
139549,DB06210,DB00188
528466,DB06210,DB00474
557051,DB06210,DB01364
240258,DB06210,DB00278
9533,DB06210,DB00040
540692,DB06210,DB00969
66913,DB06210,DB00334
374217,DB06210,DB00297
366268,DB06210,DB00519
117644,DB06210,DB06822
438500,DB06210,DB09068
212095,DB06210,DB01567
501097,DB06210,DB00350
308816,DB06210,DB00688
316730,DB06210,DB09539
26170,DB06210,DB00046
557899,DB06210,DB00761
469764,DB06210,DB06791
493281,DB06210,DB08875
66976,DB06210,DB09211
370892,DB06210,DB00588
227927,DB06210,DB06817
552052,DB06210,DB00561
186782,DB06210,DB01273
504235,DB06210,DB01149
429511,DB06210,DB01207
409273,DB06210,DB09271
548852,DB06210,DB08815
157792,DB06210,DB00203
1815,DB06210,DB04831
385967,DB06210,DB00425
227248,DB06210,DB00166
65014,DB06210,DB06704
552048,DB06210,DB00356
503597,DB06210,DB00254
220656,DB06210,DB01193
59594,DB06210,DB00930
78375,DB06210,DB00903
341930,DB06210,DB00681
28248,DB06210,DB00499
63347,DB06210,DB04574
527576,DB06210,DB00104
6,DB06210,DB00384
11491,DB06210,DB00448
318991,DB06210,DB06767
18806,DB06210,DB00266
95103,DB06210,DB00409
302066,DB06210,DB00388
543493,DB06210,DB09054
491695,DB06210,DB00571
328138,DB06210,DB01165
72065,DB06210,DB00375
272775,DB06210,DB01128
52931,DB06210,DB01278
44565,DB06210,DB01172
255392,DB06210,DB08877
16441,DB06210,DB01064
461949,DB06210,DB09118
227311,DB06210,DB00371
446280,DB06210,DB08932
71420,DB06210,DB01623
31956,DB06210,DB01240
507054,DB06210,DB00262
35743,DB06210,DB09038
462796,DB06210,DB00958
367579,DB06210,DB00218
407486,DB06210,DB09097
66880,DB06210,DB00153
448397,DB06210,DB00320
97695,DB06210,DB00598
220024,DB06210,DB01016
434417,DB06210,DB04842
545866,DB06210,DB00503
62650,DB06210,DB09262
453080,DB06210,DB00195
283701,DB06210,DB00669
26220,DB06210,DB06589
203721,DB06210,DB09104
343885,DB06210,DB00559
61449,DB06210,DB00364
265978,DB06210,DB11093
492590,DB06210,DB00762
134274,DB06210,DB00214
356411,DB06210,DB08826
451148,DB06210,DB00563
503615,DB06210,DB00258
70625,DB06210,DB00653
314732,DB06210,DB00177
343146,DB06684,DB06209
457389,DB06684,DB00530
151278,DB06684,DB01586
518317,DB06684,DB01095
94272,DB06684,DB00561
43900,DB06684,DB00697
242451,DB06684,DB01136
108004,DB06684,DB00544
459058,DB06684,DB09027
426687,DB06684,DB00417
69988,DB06684,DB00312
195036,DB06684,DB00488
462741,DB06684,DB00774
392139,DB06684,DB01155
491872,DB06684,DB00468
511239,DB06684,DB00535
103971,DB06684,DB09272
305252,DB06684,DB09273
511602,DB06684,DB01234
105108,DB06684,DB00763
209569,DB06684,DB09104
9288,DB06684,DB00605
118086,DB06684,DB00328
125007,DB06684,DB00808
150399,DB06684,DB01331
373195,DB06684,DB00484
95864,DB06684,DB01008
109408,DB06684,DB00285
268187,DB06684,DB00476
54365,DB06684,DB03793
202793,DB06684,DB00803
556112,DB06684,DB00624
96335,DB06684,DB00739
420545,DB06684,DB00270
174936,DB06684,DB01039
520245,DB06684,DB00762
516528,DB06684,DB01012
104979,DB06684,DB00842
472542,DB06684,DB00586
296615,DB06684,DB00695
297977,DB06684,DB09295
552520,DB06684,DB00749
146555,DB06684,DB00968
542440,DB06684,DB00602
286883,DB06684,DB00400
459264,DB06684,DB00485
134851,DB06684,DB06589
549515,DB06684,DB06684
106047,DB06684,DB01041
26265,DB06684,DB06695
206071,DB06684,DB00220
73204,DB06684,DB00343
5738,DB06684,DB01100
303439,DB06684,DB00159
313195,DB06684,DB00193
459420,DB06684,DB01201
379390,DB06684,DB08899
343409,DB06684,DB00898
166880,DB06684,DB00501
493166,DB06684,DB00613
510833,DB06684,DB00974
113790,DB06684,DB00564
78856,DB06684,DB00780
414728,DB06684,DB01063
192293,DB06684,DB00514
69737,DB06684,DB00615
41550,DB06684,DB00420
196050,DB06684,DB00224
139753,DB06684,DB00374
176722,DB06684,DB04868
262908,DB06684,DB06605
255589,DB06684,DB06144
103769,DB06684,DB00030
456887,DB06684,DB11133
390471,DB06684,DB01072
182781,DB06684,DB00503
52516,DB06684,DB06704
455660,DB06684,DB04884
302857,DB06684,DB00945
540450,DB06684,DB00196
326821,DB06684,DB00181
555409,DB06684,DB01264
120720,DB06684,DB01211
456586,DB06684,DB00872
154374,DB06684,DB01618
283631,DB06684,DB00569
86060,DB06684,DB00379
401615,DB06684,DB01224
23240,DB06684,DB01263
107416,DB06684,DB00409
252625,DB06684,DB00333
59606,DB06684,DB01045
453870,DB06684,DB01174
45121,DB06684,DB00490
237777,DB06684,DB00875
58720,DB00601,DB00214
65635,DB00601,DB08930
28223,DB00601,DB00163
556204,DB00601,DB00238
76494,DB00601,DB08931
281329,DB00601,DB00930
258035,DB00601,DB00615
10837,DB00601,DB00455
220120,DB00601,DB00482
402782,DB00601,DB08901
86726,DB00601,DB00204
77545,DB00601,DB06209
559535,DB00601,DB00829
93679,DB00601,DB00720
511461,DB00601,DB01278
328564,DB00601,DB01032
444489,DB00601,DB00314
416346,DB00601,DB01029
510039,DB00601,DB09256
86538,DB00601,DB01166
420,DB00601,DB01214
114527,DB00601,DB00441
12554,DB00601,DB01165
527208,DB00601,DB00203
82670,DB00601,DB00373
243314,DB00601,DB01059
377195,DB00601,DB06822
391009,DB00601,DB01612
25795,DB00601,DB00672
272194,DB00601,DB09112
219869,DB00601,DB05521
363352,DB00601,DB09053
454990,DB00601,DB00530
109370,DB00601,DB00437
17068,DB00601,DB00682
33248,DB00601,DB06626
89533,DB00601,DB00356
74592,DB00601,DB01273
162119,DB00601,DB00377
383028,DB00601,DB00379
125403,DB00601,DB08820
146296,DB00601,DB00178
163360,DB00601,DB00573
141305,DB00601,DB01244
394342,DB00601,DB00660
290658,DB00601,DB00819
439771,DB00601,DB01182
554110,DB00601,DB03880
317861,DB00601,DB00246
391381,DB00601,DB00921
238112,DB00601,DB00211
119057,DB00601,DB00277
353098,DB00601,DB00540
9,DB00601,DB04896
422706,DB00601,DB00830
175957,DB00601,DB00904
54219,DB00601,DB09068
204680,DB00601,DB06288
21308,DB00601,DB00508
267157,DB00601,DB00391
312715,DB00601,DB00852
513931,DB00601,DB01463
518703,DB00601,DB00726
295723,DB00601,DB00150
498167,DB00601,DB04842
415192,DB00601,DB00668
554895,DB00601,DB00841
281997,DB00601,DB01274
214420,DB00601,DB00656
334411,DB00601,DB00983
256770,DB00601,DB00679
95387,DB00601,DB00651
423407,DB00601,DB01038
232650,DB00601,DB00191
441181,DB00601,DB00745
50195,DB00601,DB01175
439099,DB00601,DB00420
24542,DB00601,DB00323
495231,DB00601,DB01156
296104,DB00601,DB00176
320691,DB00601,DB00907
159628,DB00601,DB00321
397466,DB00601,DB00295
272686,DB00601,DB00182
34112,DB00601,DB00871
396130,DB00601,DB01624
419359,DB00601,DB00968
177291,DB00601,DB01037
481752,DB00601,DB01001
213954,DB00601,DB01614
423641,DB00601,DB00484
126349,DB00601,DB06714
209009,DB00601,DB00422
16870,DB00601,DB06711
172493,DB00601,DB06707
134636,DB09143,DB01553
97618,DB09143,DB04835
468882,DB09143,DB00285
280070,DB09143,DB01210
86510,DB09143,DB00653
195020,DB09143,DB01097
309259,DB09143,DB00452
446418,DB09143,DB01030
171936,DB09143,DB00847
173369,DB09143,DB01579
163807,DB09143,DB00163
512308,DB09143,DB01357
88237,DB09143,DB00459
501721,DB09143,DB00542
445347,DB09143,DB09071
92776,DB09143,DB00692
377610,DB09143,DB08930
69558,DB09143,DB01002
90598,DB09143,DB00413
197659,DB09143,DB01605
301747,DB09143,DB00708
455480,DB09143,DB01109
41137,DB09143,DB00363
463327,DB09143,DB00248
354358,DB09143,DB00352
14680,DB09143,DB01074
495233,DB09143,DB00675
105742,DB09143,DB00205
203317,DB09143,DB00195
553777,DB09143,DB04817
189076,DB09143,DB00500
431822,DB09143,DB08795
288990,DB09143,DB00893
495977,DB09143,DB09068
81759,DB09143,DB00637
172682,DB09143,DB00843
541665,DB09143,DB01016
306025,DB09143,DB09128
91665,DB09143,DB00300
528327,DB09143,DB00479
194643,DB09143,DB00540
128595,DB09143,DB01256
250953,DB09143,DB00213
465106,DB09143,DB01147
513940,DB09143,DB08864
376940,DB09143,DB01043
144547,DB09143,DB00736
454133,DB09143,DB04825
3580,DB09143,DB00590
376378,DB09143,DB00969
454134,DB09143,DB00418
201634,DB09143,DB00683
420526,DB09143,DB01567
93599,DB09143,DB00529
536086,DB09143,DB00356
495018,DB09143,DB01193
272801,DB09143,DB00806
558089,DB09143,DB06789
116920,DB09143,DB08822
547695,DB09143,DB00182
245445,DB09143,DB00571
309511,DB09143,DB00731
43361,DB09143,DB00374
409071,DB09143,DB01337
521799,DB09143,DB00755
90062,DB09143,DB00776
11,DB09143,DB06696
16544,DB09143,DB06153
331646,DB09143,DB09034
32453,DB09143,DB09242
113662,DB09143,DB00409
96307,DB09143,DB00320
144153,DB09143,DB06723
91329,DB09143,DB00361
550918,DB09143,DB00820
347199,DB09143,DB00301
27553,DB09143,DB01583
516257,DB09143,DB00619
337830,DB09143,DB01264
444000,DB09143,DB02703
366503,DB09143,DB08899
248671,DB09143,DB00252
280520,DB09143,DB00196
526058,DB09143,DB09063
449799,DB09143,DB00661
291649,DB09143,DB01149
295,DB09143,DB04855
158944,DB09143,DB08820
343908,DB09143,DB08873
178210,DB09143,DB01167
314405,DB09143,DB06636
287264,DB09143,DB00976
440464,DB09143,DB08865
88979,DB09143,DB00745
143985,DB09143,DB09119
351037,DB01627,DB01016
420278,DB01627,DB01600
6483,DB01627,DB06605
214808,DB01627,DB09074
79416,DB01627,DB09034
434285,DB01627,DB00231
561106,DB01627,DB01306
523087,DB01627,DB09227
130694,DB01627,DB00897
156598,DB01627,DB01012
9863,DB01627,DB00328
547437,DB01627,DB00346
77943,DB01627,DB00712
462359,DB01627,DB00934
514936,DB01627,DB06290
161722,DB01627,DB00619
1228,DB01627,DB00461
179266,DB01627,DB00486
407743,DB01627,DB01169
149049,DB01627,DB01234
543220,DB01627,DB00945
323905,DB01627,DB03128
333065,DB01627,DB01605
324833,DB01627,DB00784
371964,DB01627,DB01184
328484,DB01627,DB01403
293461,DB01627,DB00872
490441,DB01627,DB01551
459145,DB01627,DB00503
543247,DB01627,DB00448
555194,DB01627,DB00603
60915,DB01627,DB09055
405722,DB01627,DB00320
377046,DB01627,DB01193
35059,DB01627,DB01014
76424,DB01627,DB01261
371300,DB01627,DB01071
73219,DB01627,DB04574
8678,DB01627,DB00381
82832,DB01627,DB00703
118663,DB01627,DB00301
120893,DB01627,DB08815
322499,DB01627,DB00642
151177,DB01627,DB00472
461365,DB01627,DB09277
365723,DB01627,DB01592
75266,DB01627,DB01559
269487,DB01627,DB00641
394413,DB01627,DB00820
79310,DB01627,DB00953
555905,DB01627,DB09048
93368,DB01627,DB01083
457323,DB01627,DB00713
549520,DB01627,DB01222
251929,DB01627,DB00452
241211,DB01627,DB01399
144106,DB01627,DB08795
210781,DB01627,DB00927
486312,DB01627,DB04842
390244,DB01627,DB08827
374860,DB01627,DB01167
276483,DB01627,DB04835
358555,DB01627,DB00697
410362,DB01627,DB00441
73820,DB01627,DB00205
427926,DB01627,DB00266
170039,DB01627,DB00601
87225,DB01627,DB00121
66111,DB01627,DB06144
395612,DB01627,DB00661
92811,DB01627,DB00790
287487,DB01627,DB00573
205666,DB01627,DB01340
38090,DB01627,DB01254
78118,DB01627,DB09068
84581,DB01627,DB00611
12,DB01627,DB00549
14588,DB01627,DB00734
291118,DB01627,DB00989
26669,DB01627,DB00804
298527,DB01627,DB00450
453044,DB01627,DB00359
262013,DB01627,DB06480
554106,DB01627,DB08941
181749,DB01627,DB01294
474390,DB01627,DB01142
22127,DB01627,DB00969
211400,DB01627,DB00493
374735,DB01627,DB00935
16503,DB01627,DB01082
415628,DB01627,DB09211
42856,DB01627,DB00968
178262,DB01627,DB01337
281387,DB01627,DB00565
122951,DB01627,DB00728
222166,DB01232,DB01291
46941,DB01232,DB00621
18665,DB01232,DB01278
460763,DB01232,DB00695
74207,DB01232,DB00692
244027,DB01232,DB09268
102535,DB01232,DB01072
166789,DB01232,DB00314
395591,DB01232,DB00297
172663,DB01232,DB00684
380318,DB01232,DB01039
51020,DB01232,DB08813
332083,DB01232,DB00237
70653,DB01232,DB00765
183970,DB01232,DB09043
265473,DB01232,DB00166
377131,DB01232,DB00831
320579,DB01232,DB09070
493679,DB01232,DB01017
141571,DB01232,DB09288
7027,DB01232,DB06789
258635,DB01232,DB00351
99155,DB01232,DB00209
424909,DB01232,DB00542
516469,DB01232,DB00830
263160,DB01232,DB08880
303261,DB01232,DB01501
227104,DB01232,DB01432
206325,DB01232,DB00485
556268,DB01232,DB00996
